phone,start,end,duration_ms,n_frames,mean_energy,mean_zcr,vowel_class,voicing,manner
ð,1.4891383219954648,1.549002267573696,59.86394557823127,6,0.01498426667221872,0.004351116155883465,non-vowel,voiced,fricative
ə,1.549002267573696,1.65875283446712,109.750566893424,11,0.010470980746312156,0.025797131358992878,vowel,voiced,vowel
b,1.7285941043083901,1.7934467120181405,64.85260770975043,7,0.00758412901426518,0.004702448516296416,non-vowel,voiced,stop
ɪ,1.7934467120181405,1.8982086167800454,104.76190476190483,10,0.027488853204057973,0.058456299659477864,vowel,voiced,vowel
ɡ,1.8982086167800454,1.9730385487528346,74.8299319727892,8,0.01929334666627663,0.022985244040862655,non-vowel,voiced,stop
p,2.177573696145125,2.2873242630385486,109.75056689342378,11,0.02059112452226392,0.0041275410174388604,non-vowel,unvoiced,stop
ɪ,2.2873242630385486,2.4419727891156464,154.64852607709778,16,0.0859346507496537,0.05419977298524404,vowel,voiced,vowel
ɡ,2.4419727891156464,2.5267800453514737,84.8072562358273,8,0.00952063647179707,0.012343927355278093,non-vowel,voiced,stop
s,2.96578231292517,3.0805215419501133,114.73922902494316,12,0.024114641452187335,0.1572077185017026,non-vowel,unvoiced,fricative
æ,3.0805215419501133,3.255124716553288,174.60317460317486,17,0.022379641732596826,0.047539560659678175,vowel,voiced,vowel
t,3.255124716553288,3.404784580498866,149.65986394557797,15,0.013046723702151656,0.023685206205069996,non-vowel,unvoiced,stop
ɒ,3.529501133786848,3.6492290249433106,119.72789115646253,12,0.012387913339696502,0.02875520242149073,vowel,voiced,vowel
n,3.6492290249433106,3.749002267573696,99.77324263038545,10,0.008866581500680155,0.04438138479001135,non-vowel,voiced,nasal
ə,3.873718820861678,3.9335827664399092,59.86394557823127,6,0.0689954252222267,0.04521377222852818,vowel,voiced,vowel
θ,3.9335827664399092,3.99843537414966,64.85260770975066,6,0.012699009346472596,0.05183503594400302,non-vowel,unvoiced,fricative
ɪ,3.99843537414966,4.043333333333333,44.89795918367312,5,0.007057247953161187,0.009761634506242905,vowel,voiced,vowel
k,4.043333333333333,4.088231292517007,44.897959183673564,4,0.005732919036024452,0.014472190692395005,non-vowel,unvoiced,stop
ʃ,4.088231292517007,4.347641723356009,259.41043083900263,26,0.08517290501307456,0.1313193049855933,non-vowel,unvoiced,fricative
iː,4.347641723356009,4.497301587301587,149.65986394557797,15,0.007181819988326219,0.0298146046159667,vowel,voiced,vowel
t,4.497301587301587,4.691859410430839,194.55782312925152,20,0.00899518377558312,0.03723041997729852,non-vowel,unvoiced,stop
