time_s,f1_hz,f2_hz,f3_hz,intensity_db
0.0259,530.01,1720.14,3191.86,
0.0322,512.25,1692.29,3096.01,33.96
0.0384,484.56,1764.60,2951.01,34.37
0.0447,364.02,1633.99,2423.46,35.33
0.0509,363.89,1301.02,2294.59,36.40
0.0572,353.44,1323.01,2542.69,36.94
0.0634,335.32,1394.44,2995.07,36.87
0.0697,382.87,1244.46,3045.40,36.33
0.0759,391.89,1030.23,2619.67,35.76
0.0822,320.11,1034.30,2457.26,35.16
0.0884,420.20,1587.93,3121.43,34.63
0.0947,348.89,1714.93,3235.58,35.67
0.1009,293.46,1291.46,2850.41,36.67
0.1072,316.95,1361.40,2956.09,36.68
0.1134,401.66,1566.36,3037.75,35.58
0.1197,382.10,1484.98,3021.79,34.15
0.1259,486.01,1660.87,3555.71,32.66
0.1322,608.58,1838.01,3592.31,31.67
0.1384,570.28,1745.28,3339.18,31.66
0.1447,532.97,1784.15,3172.39,32.71
0.1509,425.72,1395.53,2845.61,33.85
0.1572,370.21,1369.09,2624.83,35.55
0.1634,333.32,1379.26,2614.87,37.12
0.1697,273.78,1334.04,2697.15,37.78
0.1759,259.43,1376.05,2778.95,36.88
0.1822,319.68,1391.93,2604.82,35.52
0.1884,357.43,1592.59,3250.82,34.67
0.1947,411.07,1670.63,3038.19,34.13
0.2009,348.67,1361.08,2567.13,33.50
0.2072,450.78,1264.61,2731.32,32.46
0.2134,463.71,1181.58,2650.49,32.17
0.2197,411.99,1298.59,2447.02,32.38
0.2259,335.23,1262.79,2174.79,32.60
0.2322,367.29,1387.29,2614.84,32.26
0.2384,403.61,1432.62,2479.15,31.58
0.2447,387.31,1199.81,2419.24,31.45
0.2509,410.51,1303.28,3126.96,32.03
0.2572,361.46,1227.11,2995.10,33.16
0.2634,248.42,1126.97,2334.99,34.32
0.2697,1018.48,2324.60,3681.56,35.52
0.2759,1201.10,2694.75,4137.49,36.13
0.2822,269.65,1193.47,2469.83,35.89
0.2884,529.35,1857.64,3433.07,35.18
0.2947,389.09,1920.32,3576.76,36.61
0.3009,179.53,1706.26,1761.23,38.44
0.3072,169.46,1126.22,2539.43,39.43
0.3134,246.92,1248.36,2378.69,38.92
0.3197,260.56,1406.97,1987.15,37.03
0.3259,333.63,1417.53,2584.87,35.46
0.3322,224.10,1505.45,2739.24,34.95
0.3384,322.22,1322.19,2509.33,34.26
0.3447,453.26,1401.65,2620.62,32.24
0.3509,499.70,1552.23,2590.77,29.90
0.3572,472.91,1572.88,2481.10,30.82
0.3634,315.92,1655.90,3012.36,32.85
0.3697,301.27,1553.69,2531.43,34.51
0.3759,296.02,1487.99,2700.54,35.29
0.3822,256.91,1491.03,2832.81,36.15
0.3884,299.35,1164.64,2633.51,36.02
0.3947,325.83,1263.33,2415.49,35.20
0.4009,276.23,1424.74,2490.90,34.53
