time_s,f1_hz,f2_hz,f3_hz,intensity_db
0.0278,1357.68,2683.33,3986.37,
0.0340,421.97,1616.48,3294.64,37.02
0.0403,325.12,1338.29,2632.30,36.63
0.0465,357.10,1575.86,2762.69,36.58
0.0528,394.81,1580.67,3004.84,35.92
0.0590,419.93,1513.90,2645.48,34.60
0.0653,407.35,1341.41,2539.33,33.09
0.0715,517.95,1430.25,2997.58,31.87
0.0778,430.98,1461.50,2765.88,31.15
0.0840,331.30,1401.32,2575.32,31.22
0.0903,295.88,1435.93,2645.51,32.02
0.0965,371.55,1293.34,2622.87,33.03
0.1028,363.79,1228.49,2534.05,34.10
0.1090,393.50,1330.00,2730.38,35.38
0.1153,273.01,1385.38,2859.54,36.24
0.1215,311.16,1373.64,2737.94,35.89
0.1278,411.74,1368.50,2943.83,33.91
0.1340,430.10,1362.58,2946.82,32.18
0.1403,411.74,1166.79,2684.12,31.89
0.1465,451.37,1315.42,2636.56,33.27
0.1528,320.03,1324.50,2628.01,35.53
0.1590,306.99,1311.45,2407.68,36.26
0.1653,318.50,1503.59,2455.01,35.10
0.1715,423.70,1515.94,2557.73,33.63
0.1778,419.70,1421.31,2485.32,33.39
0.1840,295.96,1261.09,2565.18,34.64
0.1903,388.93,1560.94,2050.42,35.04
0.1965,389.36,1179.14,2413.92,35.00
0.2028,379.29,1397.29,2656.82,34.98
0.2090,785.27,1683.38,3037.55,35.31
0.2153,410.90,1265.77,2336.08,35.48
0.2215,393.16,1405.44,2273.66,35.27
0.2278,407.18,1364.26,2101.14,35.08
0.2340,385.69,1372.97,2468.08,35.49
0.2403,298.08,1371.85,3034.90,37.24
0.2465,266.45,1354.07,3042.95,38.25
0.2528,754.96,1574.28,3046.26,38.54
0.2590,924.78,1809.30,3407.20,38.24
0.2653,270.23,1322.16,2502.82,37.51
0.2715,313.98,1360.33,2401.38,35.98
0.2778,337.70,1361.65,2018.25,34.62
0.2840,766.24,1717.81,3381.92,34.04
0.2903,323.82,1413.64,2649.93,34.31
0.2965,318.28,1364.28,2679.39,34.82
0.3028,328.60,1436.05,2481.94,34.83
0.3090,354.63,1463.65,2535.87,34.16
0.3153,383.41,1424.86,2486.13,33.18
0.3215,383.61,1362.76,2346.65,32.48
0.3278,1286.44,2130.26,3986.57,32.55
0.3340,290.63,1408.36,2656.69,31.95
0.3403,474.74,1455.64,2796.39,31.14
0.3465,433.10,1498.16,2875.81,30.74
0.3528,413.12,1479.53,2768.08,31.29
0.3590,445.03,1386.90,2416.20,31.09
0.3653,460.90,1186.98,2241.76,31.41
0.3715,407.69,1360.47,2494.04,32.82
0.3778,258.95,1390.54,2740.09,35.14
0.3840,215.01,1401.56,2845.21,36.75
0.3903,249.83,1315.26,2405.30,37.09
0.3965,262.70,1297.57,2696.39,37.73
0.4028,246.06,1295.56,2990.31,38.83
0.4090,237.94,1365.51,2911.32,39.41
0.4153,272.04,1335.08,2296.34,37.99
0.4215,248.72,1436.05,2230.41,34.98
0.4278,471.53,1462.91,2241.12,32.67
0.4340,503.20,1188.49,2232.12,32.59
0.4403,164.00,1222.88,2438.69,34.22
0.4465,216.18,1324.68,2282.97,34.21
0.4528,422.18,1287.32,2486.48,32.96
0.4590,451.55,1288.12,2576.19,31.03
0.4653,499.64,1383.65,2436.11,29.13
0.4715,496.24,1484.41,2356.72,28.49
0.4778,509.70,1395.65,2160.49,29.04
0.4840,460.32,1305.34,2383.63,30.30
0.4903,398.92,1351.26,2480.64,31.81
0.4965,392.87,1331.12,2431.43,33.22
0.5028,383.48,1252.28,2174.76,33.82
0.5090,417.70,1391.91,1875.95,33.99
0.5153,393.33,1501.58,3090.52,34.12
0.5215,319.06,1516.34,2950.77,34.49
0.5278,423.26,1657.09,3155.76,34.69
0.5340,404.00,1579.89,1883.18,34.38
0.5403,359.49,1366.77,2322.96,34.30
0.5465,382.16,1301.63,2577.20,34.98
0.5528,305.33,1384.64,2659.13,36.58
0.5590,218.55,1509.10,3068.13,37.11
