time_s,f0_hz
0.0254,
0.0354,
0.0454,
0.0554,
0.0654,
0.0754,
0.0854,
0.0954,
0.1054,
0.1154,
0.1254,
0.1354,
0.1454,
0.1554,
0.1654,
0.1754,
0.1854,
0.1954,
0.2054,
0.2154,
0.2254,
0.2354,
0.2454,
0.2554,
0.2654,
0.2754,
0.2854,
0.2954,
0.3054,
0.3154,
0.3254,
0.3354,
0.3454,
0.3554,
0.3654,
0.3754,
0.3854,
0.3954,
0.4054,
0.4154,
0.4254,
0.4354,
0.4454,
0.4554,
0.4654,
0.4754,
0.4854,
0.4954,
0.5054,
0.5154,
0.5254,
0.5354,
0.5454,
0.5554,
0.5654,
0.5754,
0.5854,
0.5954,
0.6054,
0.6154,
0.6254,
0.6354,
0.6454,
0.6554,
0.6654,
0.6754,
0.6854,
0.6954,
0.7054,
0.7154,
0.7254,
0.7354,
0.7454,
0.7554,
0.7654,
0.7754,
0.7854,
0.7954,
0.8054,
0.8154,
0.8254,
0.8354,
0.8454,
0.8554,
0.8654,
0.8754,
0.8854,
0.8954,
0.9054,
0.9154,
0.9254,
0.9354,
0.9454,
0.9554,
0.9654,
0.9754,
0.9854,
0.9954,
1.0054,
1.0154,
1.0254,
1.0354,
1.0454,
1.0554,
1.0654,
1.0754,
1.0854,
1.0954,
1.1054,
1.1154,
1.1254,
1.1354,
1.1454,
1.1554,
1.1654,
1.1754,
1.1854,
1.1954,
1.2054,
1.2154,
1.2254,
1.2354,
1.2454,
1.2554,
1.2654,
1.2754,
1.2854,
1.2954,
1.3054,
1.3154,
1.3254,
1.3354,
1.3454,
1.3554,
1.3654,
1.3754,
1.3854,
1.3954,
1.4054,128.485
1.4154,122.580
1.4254,119.079
1.4354,113.796
1.4454,130.878
1.4554,137.557
1.4654,150.736
1.4754,160.165
1.4854,168.176
1.4954,174.791
1.5054,182.189
1.5154,188.759
1.5254,194.724
1.5354,200.440
1.5454,201.626
1.5554,187.590
1.5654,170.686
1.5754,166.443
1.5854,159.870
1.5954,153.915
1.6054,153.377
1.6154,153.247
1.6254,153.071
1.6354,150.928
1.6454,149.227
1.6554,149.032
1.6654,148.892
1.6754,148.578
1.6854,146.567
1.6954,144.148
1.7054,140.803
1.7154,136.982
1.7254,132.890
1.7354,130.045
1.7454,129.805
1.7554,130.083
1.7654,129.443
1.7754,129.112
1.7854,129.978
1.7954,132.783
1.8054,136.066
1.8154,142.380
1.8254,152.308
1.8354,154.171
1.8454,157.991
1.8554,164.045
1.8654,169.114
1.8754,169.768
1.8854,167.126
1.8954,166.794
1.9054,169.259
1.9154,169.058
1.9254,170.056
1.9354,170.059
1.9454,
1.9554,
1.9654,
1.9754,
1.9854,
1.9954,
2.0054,
2.0154,
2.0254,
2.0354,195.298
2.0454,179.301
2.0554,172.514
2.0654,169.495
2.0754,166.441
2.0854,162.800
2.0954,159.183
2.1054,156.911
2.1154,154.611
2.1254,152.796
2.1354,150.892
2.1454,148.460
2.1554,143.552
2.1654,134.172
2.1754,132.536
2.1854,130.296
2.1954,125.866
2.2054,121.858
2.2154,120.397
2.2254,119.502
2.2354,117.229
2.2454,110.405
2.2554,
2.2654,
2.2754,
2.2854,
2.2954,
2.3054,140.827
2.3154,144.505
2.3254,147.345
2.3354,150.784
2.3454,152.844
2.3554,155.045
2.3654,157.630
2.3754,160.745
2.3854,162.936
2.3954,165.833
2.4054,167.619
2.4154,168.494
2.4254,168.523
2.4354,167.342
2.4454,164.578
2.4554,160.099
2.4654,153.310
2.4754,144.525
2.4854,137.195
2.4954,130.715
2.5054,123.151
2.5154,116.479
2.5254,109.103
2.5354,104.169
2.5454,100.579
2.5554,98.893
2.5654,97.691
2.5754,95.649
2.5854,94.522
2.5954,94.114
2.6054,93.096
2.6154,91.627
2.6254,
2.6354,
2.6454,
2.6554,
2.6654,
2.6754,
2.6854,
2.6954,
2.7054,
2.7154,
2.7254,
2.7354,
2.7454,
2.7554,
2.7654,
2.7754,
2.7854,
2.7954,
2.8054,
2.8154,
2.8254,
2.8354,
2.8454,
2.8554,
2.8654,
2.8754,
2.8854,
2.8954,
2.9054,
2.9154,
2.9254,
2.9354,
2.9454,
2.9554,
2.9654,
2.9754,
2.9854,
2.9954,
3.0054,
3.0154,
3.0254,
3.0354,
3.0454,
3.0554,
3.0654,
3.0754,
3.0854,
3.0954,
3.1054,
3.1154,
3.1254,
3.1354,
3.1454,
3.1554,
3.1654,
3.1754,
3.1854,
3.1954,
3.2054,
3.2154,
3.2254,
3.2354,
3.2454,
3.2554,
3.2654,
3.2754,
3.2854,
3.2954,
3.3054,
3.3154,
3.3254,
3.3354,
3.3454,
3.3554,
3.3654,
3.3754,
3.3854,
3.3954,
3.4054,
3.4154,
3.4254,
3.4354,
3.4454,
3.4554,
3.4654,
3.4754,
3.4854,
3.4954,
3.5054,
