time_s,f0_hz
0.0225,
0.0325,
0.0425,
0.0525,
0.0625,
0.0725,
0.0825,
0.0925,
0.1025,
0.1125,
0.1225,
0.1325,
0.1425,
0.1525,
0.1625,
0.1725,
0.1825,
0.1925,
0.2025,
0.2125,
0.2225,
0.2325,
0.2425,
0.2525,
0.2625,
0.2725,
0.2825,
0.2925,
0.3025,
0.3125,
0.3225,
0.3325,
0.3425,
0.3525,
0.3625,
0.3725,
0.3825,
0.3925,
0.4025,
0.4125,
0.4225,
0.4325,
0.4425,
0.4525,
0.4625,
0.4725,
0.4825,
0.4925,
0.5025,
0.5125,
0.5225,
0.5325,
0.5425,
0.5525,
0.5625,
0.5725,
0.5825,
0.5925,
0.6025,
0.6125,
0.6225,
0.6325,
0.6425,
0.6525,
0.6625,
0.6725,
0.6825,
0.6925,
0.7025,
0.7125,
0.7225,
0.7325,
0.7425,
0.7525,
0.7625,
0.7725,
0.7825,
0.7925,158.922
0.8025,137.806
0.8125,127.246
0.8225,121.412
0.8325,129.232
0.8425,140.984
0.8525,144.526
0.8625,147.107
0.8725,149.361
0.8825,152.116
0.8925,154.836
0.9025,157.234
0.9125,159.045
0.9225,158.979
0.9325,154.997
0.9425,146.138
0.9525,145.445
0.9625,144.332
0.9725,143.481
0.9825,146.888
0.9925,152.389
1.0025,157.473
1.0125,167.945
1.0225,173.238
1.0325,175.890
1.0425,177.200
1.0525,177.391
1.0625,176.624
1.0725,175.619
1.0825,174.219
1.0925,171.483
1.1025,168.701
1.1125,167.430
1.1225,165.281
1.1325,162.643
1.1425,161.749
1.1525,162.358
1.1625,164.343
1.1725,168.481
1.1825,174.331
1.1925,175.412
1.2025,179.144
1.2125,184.028
1.2225,189.288
1.2325,196.494
1.2425,200.838
1.2525,198.534
1.2625,193.569
1.2725,191.758
1.2825,
1.2925,
1.3025,
1.3125,
1.3225,
1.3325,
1.3425,
1.3525,
1.3625,
1.3725,
1.3825,206.035
1.3925,
1.4025,
1.4125,241.037
1.4225,217.264
1.4325,206.875
1.4425,200.190
1.4525,191.769
1.4625,183.356
1.4725,174.577
1.4825,167.203
1.4925,159.446
1.5025,153.758
1.5125,148.543
1.5225,144.432
1.5325,137.799
1.5425,131.347
1.5525,126.477
1.5625,119.925
1.5725,112.367
1.5825,106.096
1.5925,103.650
1.6025,105.578
1.6125,99.553
1.6225,98.593
1.6325,103.109
1.6425,100.592
1.6525,100.391
1.6625,99.323
1.6725,
1.6825,
1.6925,
1.7025,
1.7125,110.813
1.7225,111.457
1.7325,113.587
1.7425,113.566
1.7525,112.367
1.7625,107.166
1.7725,105.597
1.7825,104.955
1.7925,105.159
1.8025,107.027
1.8125,110.716
1.8225,114.031
1.8325,116.227
1.8425,117.306
1.8525,119.221
1.8625,122.771
1.8725,128.195
1.8825,135.066
1.8925,142.452
1.9025,149.086
1.9125,153.575
1.9225,157.017
1.9325,163.222
1.9425,171.051
1.9525,175.645
1.9625,180.402
1.9725,182.047
1.9825,183.117
1.9925,190.463
2.0025,195.725
2.0125,195.413
2.0225,194.276
2.0325,191.820
2.0425,193.879
2.0525,195.778
2.0625,199.118
2.0725,202.596
2.0825,
2.0925,
2.1025,
2.1125,
2.1225,
2.1325,
2.1425,
2.1525,
2.1625,
2.1725,
2.1825,
2.1925,
2.2025,
2.2125,
2.2225,
2.2325,
2.2425,
2.2525,
2.2625,
2.2725,
2.2825,
2.2925,
2.3025,
2.3125,
2.3225,
2.3325,
2.3425,
2.3525,
2.3625,
2.3725,
2.3825,
2.3925,
2.4025,
2.4125,
2.4225,
2.4325,
2.4425,
2.4525,
2.4625,
2.4725,
2.4825,
2.4925,
2.5025,
2.5125,
2.5225,
2.5325,
2.5425,
2.5525,
2.5625,
2.5725,
2.5825,
2.5925,
2.6025,
2.6125,
2.6225,
2.6325,
2.6425,
2.6525,
2.6625,
2.6725,
2.6825,
2.6925,
2.7025,
2.7125,
2.7225,
2.7325,
2.7425,
2.7525,
2.7625,
2.7725,
2.7825,
2.7925,
2.8025,
2.8125,
2.8225,
2.8325,
2.8425,
2.8525,
2.8625,
2.8725,
2.8825,
