time_s,f0_hz
0.0242,
0.0342,
0.0442,
0.0542,
0.0642,
0.0742,
0.0842,
0.0942,
0.1042,
0.1142,
0.1242,
0.1342,
0.1442,
0.1542,
0.1642,
0.1742,
0.1842,
0.1942,
0.2042,
0.2142,
0.2242,
0.2342,
0.2442,
0.2542,
0.2642,
0.2742,
0.2842,
0.2942,
0.3042,
0.3142,
0.3242,
0.3342,
0.3442,
0.3542,
0.3642,
0.3742,
0.3842,
0.3942,
0.4042,
0.4142,
0.4242,
0.4342,
0.4442,
0.4542,
0.4642,
0.4742,
0.4842,
0.4942,
0.5042,
0.5142,
0.5242,
0.5342,
0.5442,
0.5542,
0.5642,
0.5742,
0.5842,
0.5942,
0.6042,
0.6142,
0.6242,
0.6342,
0.6442,
0.6542,
0.6642,
0.6742,
0.6842,
0.6942,
0.7042,
0.7142,
0.7242,
0.7342,
0.7442,
0.7542,
0.7642,
0.7742,
0.7842,
0.7942,
0.8042,
0.8142,
0.8242,
0.8342,
0.8442,
0.8542,
0.8642,
0.8742,
0.8842,
0.8942,
0.9042,
0.9142,
0.9242,
0.9342,
0.9442,
0.9542,
0.9642,
0.9742,
0.9842,
0.9942,
1.0042,
1.0142,
1.0242,
1.0342,
1.0442,
1.0542,
1.0642,
1.0742,
1.0842,
1.0942,
1.1042,
1.1142,
1.1242,
1.1342,
1.1442,
1.1542,
1.1642,
1.1742,
1.1842,
1.1942,
1.2042,
1.2142,
1.2242,
1.2342,
1.2442,
1.2542,
1.2642,
1.2742,
1.2842,
1.2942,
1.3042,
1.3142,
1.3242,
1.3342,
1.3442,
1.3542,
1.3642,
1.3742,
1.3842,
1.3942,
1.4042,
1.4142,
1.4242,
1.4342,
1.4442,
1.4542,
1.4642,
1.4742,110.627
1.4842,111.194
1.4942,110.829
1.5042,109.241
1.5142,107.771
1.5242,107.578
1.5342,105.892
1.5442,100.220
1.5542,96.207
1.5642,96.355
1.5742,
1.5842,116.131
1.5942,113.710
1.6042,112.450
1.6142,111.484
1.6242,111.361
1.6342,111.640
1.6442,112.177
1.6542,112.552
1.6642,113.111
1.6742,114.571
1.6842,115.743
1.6942,115.435
1.7042,112.318
1.7142,107.045
1.7242,112.586
1.7342,111.681
1.7442,110.483
1.7542,106.895
1.7642,102.630
1.7742,
1.7842,
1.7942,
1.8042,108.507
1.8142,110.799
1.8242,111.478
1.8342,112.893
1.8442,113.770
1.8542,115.313
1.8642,116.249
1.8742,116.539
1.8842,116.733
