time_s,f0_hz
0.0250,
0.0350,
0.0450,
0.0550,
0.0650,
0.0750,
0.0850,
0.0950,
0.1050,
0.1150,
0.1250,
0.1350,
0.1450,
0.1550,
0.1650,
0.1750,
0.1850,
0.1950,
0.2050,
0.2150,
0.2250,
0.2350,
0.2450,
0.2550,
0.2650,
0.2750,
0.2850,
0.2950,
0.3050,
0.3150,
0.3250,
0.3350,
0.3450,
0.3550,
0.3650,
0.3750,
0.3850,
0.3950,
0.4050,
0.4150,
0.4250,
0.4350,
0.4450,
0.4550,
0.4650,
0.4750,
0.4850,
0.4950,
0.5050,
0.5150,
0.5250,
0.5350,
0.5450,
0.5550,
0.5650,
0.5750,
0.5850,
0.5950,
0.6050,
0.6150,
0.6250,
0.6350,
0.6450,
0.6550,
0.6650,
0.6750,
0.6850,
0.6950,
0.7050,
0.7150,
0.7250,
0.7350,
0.7450,
0.7550,
0.7650,
0.7750,
0.7850,
0.7950,
0.8050,
0.8150,
0.8250,
0.8350,
0.8450,
0.8550,
0.8650,
0.8750,126.721
0.8850,124.823
0.8950,
0.9050,
0.9150,131.669
0.9250,136.830
0.9350,143.589
0.9450,147.356
0.9550,151.608
0.9650,153.557
0.9750,153.242
0.9850,153.022
0.9950,148.730
1.0050,139.415
1.0150,139.956
1.0250,155.551
1.0350,155.345
1.0450,155.686
1.0550,163.546
1.0650,171.983
1.0750,176.968
1.0850,180.483
1.0950,182.473
1.1050,185.243
1.1150,190.263
1.1250,193.924
1.1350,195.655
1.1450,197.019
1.1550,197.290
1.1650,196.582
1.1750,192.403
1.1850,186.262
1.1950,183.654
1.2050,179.627
1.2150,176.643
1.2250,173.855
1.2350,171.373
1.2450,167.460
1.2550,164.034
1.2650,163.049
1.2750,162.329
1.2850,165.717
1.2950,173.620
1.3050,181.476
1.3150,184.609
1.3250,186.890
1.3350,193.021
1.3450,199.384
1.3550,200.138
1.3650,199.150
1.3750,195.434
1.3850,194.275
1.3950,
1.4050,
1.4150,
1.4250,
1.4350,
1.4450,
1.4550,
1.4650,
1.4750,
1.4850,
1.4950,
1.5050,
1.5150,
1.5250,
1.5350,
1.5450,
1.5550,
1.5650,251.732
1.5750,236.249
1.5850,226.436
1.5950,224.204
1.6050,221.640
1.6150,216.953
1.6250,201.784
1.6350,186.692
1.6450,289.956
1.6550,287.284
1.6650,288.065
1.6750,285.332
1.6850,290.477
1.6950,309.332
1.7050,173.953
1.7150,179.775
1.7250,171.544
1.7350,159.940
1.7450,152.561
1.7550,144.440
1.7650,144.900
1.7750,139.397
1.7850,132.401
1.7950,128.173
1.8050,129.322
1.8150,128.221
1.8250,127.625
1.8350,122.501
1.8450,
1.8550,
1.8650,
